Tiempo,Susceptibles,Infectados,Recuperados
0,990.0,10.0,0.0
1,987.03,11.97,1.0
2,983.48557527,14.317424730000003,2.197
3,979.2612810609094,17.109976466090696,3.6287424730000004
4,974.2347398189776,20.425520061413422,5.33974011960907
5,968.2649644521681,24.352743422081602,7.382292125750412
6,961.1909919789997,28.991441553041827,9.817566467958573
7,952.8310982394189,34.45219113731848,12.716710623262756
8,942.9829625039813,40.8551077590243,16.161929736994605
9,931.425261339574,48.32729814752911,20.247440512897036
10,917.9212814475047,56.99854822484555,25.08017032764995
11,902.2252273193454,66.99474753052029,30.780025150134506
12,884.0919219233676,78.428578173446,37.479499903186536
13,863.290500200044,91.38714207942509,45.32235772053114
14,839.6224047207642,105.91652335076239,54.46107192847364
15,812.9434389101351,122.00383682631517,65.05272426354989
16,783.1887733091904,139.55811874462833,77.25310794618142
17,750.3986677617073,158.39241241764864,91.20891982064425
18,714.7414311831774,178.21040775441372,107.04816106240912
19,676.5291226161391,198.60167554601054,124.8692018378505
20,636.2211774239679,219.0494531835808,144.72936939245156
21,594.4120071184077,238.95367817078292,166.63431471080963
22,551.8009264834614,257.66939098865095,190.52968252788793
23,509.1462638812713,274.5571144919759,216.29662162675302
24,467.2093451615877,289.0383217624619,243.75233307595062
25,426.6969236504145,300.64691109738897,272.6561652521968
26,388.21139002933785,309.0677536087268,302.72085636193566
27,352.21630335683125,314.1560649203607,333.62763172280836
28,319.0210369978178,315.935724787338,365.04323821484445
29,288.7839942339237,314.57919507249835,396.63681069357824
30,261.5303632971451,310.37490650202716,428.09473020082805
31,237.1786246804073,303.68915446856226,459.13222085103075
32,215.5700518842445,294.92881181786885,489.501136297887
33,196.49670610452353,284.5092764158029,518.9940174796739
34,179.72516540295751,272.8298894757886,547.4449451212541
35,165.0148462990855,260.2572196320817,574.727934068833
36,152.1309547703409,247.11538919761813,600.7536560320411
37,140.8527847412175,233.68202030697975,625.4651949518029
38,130.97835574995995,220.18824726753934,648.8333969825009
39,122.32638737518957,206.82139091555578,670.8522217092548
40,114.73647330040603,193.72916589878375,691.5343608008103
41,108.06813291920932,181.0245896901021,710.9072773906887
42,102.19923609312673,168.79102754717448,729.0097363596989
43,97.02414187071818,157.08701901486558,745.8888391144163
44,92.45177190503422,145.95068707906296,761.5975410159028
45,88.40375201566926,135.40363826052163,776.1926097238091
46,84.8126951180285,125.45433133211023,789.7329735498613
47,81.62065913167658,116.10093418525113,802.2784066830724
48,78.7777886994755,107.3337111989271,813.8885001015975
49,76.24113497312761,99.13699380538228,824.6218712214902
50,73.97363989546373,91.49078950250792,834.5355706020284
51,71.94326788054067,84.37208256718019,843.6846495522792
52,70.12226687920975,77.75587531179309,852.1218578089972
53,68.48654140719772,71.6160132526258,859.8974453401765
54,67.01512149008441,65.92583184447653,867.0590466654392
55,65.68971320096666,60.658656949146625,873.6516298498868
56,64.49431826752308,55.78818618767554,879.7174955448015
57,63.41491195685635,51.28877387957472,885.296314163569
58,62.43917003287185,47.13563841560175,890.4251915515265
59,61.55623699037993,43.305007616533494,895.1387553930866
60,60.75652899686587,39.77421484839421,899.4692561547399
61,60.031566025536655,36.521756334884,903.4466776395793
62,59.37382855750081,33.52731816943145,907.0988532730677
63,58.776634985205426,30.77177992478369,910.4515850900108
64,58.2340364822602,28.237200435250546,913.5287630824891
65,57.74072663416922,25.906790239816473,916.3524831260142
66,57.29196356620742,23.76487428379663,918.9431621499959
67,56.88350267272059,21.7968477489038,921.3196495783756
68,56.51153835856609,19.989127288167918,923.4993343532659
69,56.17265345851622,18.329099459400997,925.4982470820827
70,55.86377521287434,16.80506775910278,927.3311570280227
71,55.58213685455485,15.406199341511993,929.0116638039331
72,55.325244010492305,14.122472251423336,930.5522837380843
73,55.09084524348989,12.944623793283423,931.9645309632266
74,54.876906163650595,11.864100493794373,933.258993342555
75,54.681586624796374,10.873009983269158,934.4454033919344
76,54.50322059361465,9.964075016123966,935.5327043902613
77,54.34029834003011,9.130589768096108,936.5291118918738
78,54.19145064842448,8.366378482892129,937.4421708686833
79,54.05543479242597,7.665756490601423,938.2788087169725
80,53.931122052392276,7.023493581574977,939.0453843660326
81,53.81748658551764,6.434779690292114,939.7477337241901
82,53.71359548461872,5.895192822161819,940.3912116932192
83,53.618599883852696,5.400669140711665,940.9807309754354
84,53.531726988524426,4.947475121968766,941.5207978895066
85,53.4522729222709,4.532181676025414,942.0155454017035
86,53.37959629870683,4.15164013198694,942.4687635693061
87,53.31311243643994,3.8029599810551376,942.8839275825048
88,53.25228814652156,3.4834882728680063,943.2642235806104
89,53.196637030143016,3.1907905619597448,943.6125724078972
90,53.145715231933885,2.922633303972904,943.9316514640932
91,53.09911760074379,2.6769676047657063,944.2239147944905
92,53.05647421544614,2.4519142295867864,944.4916115549671
93,53.01744723821597,2.245749783858275,944.7368029779258
94,52.98172806201319,2.05689398167523,944.9613779563116
95,52.949034722736336,1.8838979227845596,945.1670673544792
96,52.91910954977805,1.7254333034643867,945.3554571467577
97,52.891717031575986,1.5802824913200082,945.5280004771041
98,52.86664187526773,1.447329398496263,945.6860287262361
99,52.843687241771974,1.3255510921423914,945.8307616660858
